brand_slug,saved_path,app_path,status,note
60chicken,public/assets/brands/logo_60chicken.png,/assets/brands/logo_60chicken.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
banolim-pizza,public/assets/brands/logo_banolim-pizza.png,/assets/brands/logo_banolim-pizza.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
bhc,public/assets/brands/logo_bhc.png,/assets/brands/logo_bhc.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
cheogajip,public/assets/brands/logo_cheogajip.png,/assets/brands/logo_cheogajip.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
dominos,public/assets/brands/logo_dominos.png,/assets/brands/logo_dominos.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
goobne,public/assets/brands/logo_goobne.png,/assets/brands/logo_goobne.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
hochicken,public/assets/brands/logo_hochicken.png,/assets/brands/logo_hochicken.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
hosigi,public/assets/brands/logo_hosigi.png,/assets/brands/logo_hosigi.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
jadam,public/assets/brands/logo_jadam.png,/assets/brands/logo_jadam.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
ovenmaru,public/assets/brands/logo_ovenmaru.png,/assets/brands/logo_ovenmaru.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
papajohns,public/assets/brands/logo_papajohns.png,/assets/brands/logo_papajohns.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
pizzahut,public/assets/brands/logo_pizzahut.png,/assets/brands/logo_pizzahut.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
puradak,public/assets/brands/logo_puradak.png,/assets/brands/logo_puradak.png,saved,공식 홈페이지 이미지 후보에서 자동 저장; 공개 서비스 사용 전 권리 확인 필요
